URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-3/,32.0,8.0,0.5999999850000004,0.11142061250300665,28.5,0.649025069637883,11.659610027855154,14.958333333333334,233.0,359.0,0.9610027855153204,0.0,7.554317548746518
2,https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19-2/,42.0,16.0,0.4482758543400715,0.14285714250527798,18.452830188679247,0.5960591133004927,7.619555720791896,7.660377358490566,242.0,406.0,0.9901477832512315,0.0,7.241379310344827
3,https://insights.blackcoffer.com/is-telemedicine-effective-in-treating-patients/,77.0,28.0,0.46666666222222225,0.11563876639246833,18.989247311827956,0.6497797356828194,7.855610819004311,9.763440860215054,590.0,908.0,0.9977973568281938,1.0,7.883259911894273
4,https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-2/,61.0,24.0,0.4352941125259516,0.08629441615604627,21.297619047619047,0.6406091370558376,8.775291273869954,11.726190476190476,631.0,985.0,0.9918781725888325,0.0,7.7401015228426395
5,https://insights.blackcoffer.com/how-people-diverted-to-telehealth-services-and-telemedicine/,80.0,34.0,0.403508768390274,0.12324324311000731,25.816901408450704,0.601081081081081,10.567192995812714,13.028169014084508,556.0,925.0,0.9686486486486486,1.0,7.767567567567568
6,https://insights.blackcoffer.com/the-future-of-telehealth-services/,60.0,37.0,0.23711339961738764,0.10396570192500997,20.348314606741575,0.647374062165059,8.398275467562653,10.48314606741573,604.0,933.0,0.9871382636655949,2.0,7.939978563772776
7,https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19/,27.0,18.0,0.19999999555555567,0.07964601755814864,52.78260869565217,0.5415929203539823,21.329680646402466,24.565217391304348,306.0,565.0,0.95929203539823,0.0,7.189380530973452
8,https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector-2/,34.0,4.0,0.7894736634349037,0.10468319530390305,17.76086956521739,0.5619834710743802,7.329141214516709,7.891304347826087,204.0,363.0,0.9724517906336089,8.0,7.132231404958677
9,https://insights.blackcoffer.com/the-impact-of-the-metaverse-on-financial-services/,49.0,10.0,0.6610169379488655,0.08651026380277087,21.704918032786885,0.6055718475073314,8.924195952117687,11.180327868852459,413.0,682.0,0.966275659824047,2.0,7.530791788856305
10,https://insights.blackcoffer.com/how-metaverse-and-vr-can-reform-work-culture/,48.0,26.0,0.29729729327976634,0.0850574711666006,22.658227848101266,0.5977011494252874,9.302371599010621,11.012658227848101,520.0,870.0,0.9632183908045977,7.0,7.304597701149425
11,https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector/,43.0,16.0,0.4576271108876761,0.08115543317585222,24.620689655172413,0.5006877579092159,10.048550965232652,12.53448275862069,364.0,727.0,0.9546079779917469,6.0,7.0770288858321875
12,https://insights.blackcoffer.com/how-metaverse-will-change-your-life/,40.0,19.0,0.3559321973570814,0.07793923371474341,22.226666666666667,0.5376486129458389,9.105726111845001,10.093333333333334,407.0,757.0,0.9735799207397622,18.0,7.1902245706737125
13,https://insights.blackcoffer.com/the-metaverse-and-its-implications-for-our-digital-future/,22.0,15.0,0.18918918407596802,0.06045751624108249,22.61764705882353,0.5032679738562091,9.248366013071896,9.0,308.0,612.0,0.9738562091503268,27.0,6.985294117647059
14,https://insights.blackcoffer.com/do-all-social-media-is-owned-by-meta/,6.0,9.0,-0.19999998666666757,0.028089887587846654,24.31578947368421,0.4943820224719101,9.924068598462448,14.052631578947368,264.0,534.0,0.9250936329588015,2.0,6.709737827715355
15,https://insights.blackcoffer.com/how-metaverse-is-shaping-the-future-the-next-big-tech-phenomena/,43.0,12.0,0.56363635338843,0.06186726652208407,21.070588235294117,0.5230596175478065,8.63745914113677,10.458823529411765,465.0,889.0,0.9617547806524185,3.0,7.0202474690663665
16,https://insights.blackcoffer.com/what-are-the-challenges-and-acceptance-of-e-learning-during-the-covid-19-for-students-and-teachers-2/,21.0,39.0,-0.2999999950000001,0.17647058771626298,24.75862068965517,0.5147058823529411,10.109330628803246,11.724137931034482,175.0,340.0,0.9794117647058823,4.0,7.179411764705883
17,https://insights.blackcoffer.com/what-is-the-limitation-of-e-learning-classes/,24.0,69.0,-0.4838709625390219,0.11712846332855358,19.94047619047619,0.5428211586901763,8.193318939666547,9.452380952380953,431.0,794.0,0.982367758186398,3.0,7.4571788413098234
18,https://insights.blackcoffer.com/what-are-the-challenges-and-acceptance-of-e-learning-during-the-covid-19-for-students-and-teachers/,27.0,26.0,0.01886792417230332,0.11990950199115498,20.686274509803923,0.4230769230769231,8.443740573152338,8.666666666666666,187.0,442.0,0.9751131221719457,4.0,6.622171945701357
19,https://insights.blackcoffer.com/problems-faced-by-students-in-online-classes-during-covid-19/,46.0,32.0,0.17948717718606183,0.10684931492212422,26.06153846153846,0.547945205479452,10.643793466807166,11.23076923076923,400.0,730.0,0.9917808219178083,7.0,7.238356164383561
20,https://insights.blackcoffer.com/impact-of-covid-19-on-engineering-and-medical-college-during-this-pandemic-lockdown/,13.0,35.0,-0.45833332378472247,0.12532637042995726,15.321428571428571,0.381201044386423,6.2810518463259974,6.839285714285714,146.0,383.0,0.9477806788511749,20.0,6.4255874673629245
21,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,14.0,9.0,0.21739129489603065,0.06216216199415632,30.416666666666668,0.4702702702702703,12.354774774774775,15.416666666666666,174.0,370.0,0.9675675675675676,4.0,6.783783783783784
22,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,24.0,3.0,0.7777777489711944,0.0808383231112625,22.642857142857142,0.4940119760479042,9.254747647562018,11.928571428571429,165.0,334.0,0.9940119760479041,2.0,7.134730538922156
23,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,71.0,21.0,0.5434782549621929,0.09643605859912363,23.88157894736842,0.5660377358490566,9.779046673286992,12.552631578947368,540.0,954.0,0.9905660377358491,13.0,7.265199161425577
24,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,0.0,0.0,0.0,0.0,5.0,0.5,2.2,4.0,2.0,4.0,1.0,0.0,8.0
25,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,48.0,13.0,0.5737704823972052,0.10304054036648558,21.614035087719298,0.527027027027027,8.85642484589853,10.385964912280702,312.0,592.0,0.9864864864864865,25.0,7.092905405405405
26,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,38.0,13.0,0.49019606881968497,0.08542713553529793,23.3125,0.6030150753768844,9.566206030150754,12.4375,360.0,597.0,0.9698492462311558,3.0,7.298157453936349
27,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,57.0,40.0,0.17525773015198218,0.1188725488739307,22.147540983606557,0.5134803921568627,9.064408550305368,13.37704918032787,419.0,816.0,0.9889705882352942,1.0,7.216911764705882
28,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,56.0,15.0,0.5774647805990876,0.07107107099992886,26.33823529411765,0.5455455455455456,10.75351233586528,14.691176470588236,545.0,999.0,0.9579579579579579,9.0,7.117117117117117
29,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,71.0,9.0,0.7749999903125001,0.09302325570578691,22.25,0.4965116279069767,9.098604651162791,11.944444444444445,427.0,860.0,0.9906976744186047,3.0,7.07093023255814
30,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,25.0,24.0,0.020408162848813003,0.174999999375,17.057142857142857,0.5285714285714286,7.034285714285715,8.0,148.0,280.0,1.0,3.0,6.960714285714285
